2021/02/04 13:49:38| Created PID file (/var/run/squid.pid)
2021/02/05 07:22:19 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.66:443 remote=10.42.0.30:44070 FD 77 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:19 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:22:19 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.2:443 remote=10.42.0.30:48264 FD 81 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:19 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:22:19 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.2:443 remote=10.42.0.30:48266 FD 81 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:19 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:22:19 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.130:443 remote=10.42.0.30:45410 FD 78 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:19 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:22:19 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.130:443 remote=10.42.0.30:45412 FD 78 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:19 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.226:443 remote=10.42.0.30:33122 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.225:443 remote=10.42.0.30:60320 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.194:443 remote=10.42.0.30:36646 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.230:443 remote=10.42.0.30:37876 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.231:443 remote=10.42.0.30:56536 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.193:443 remote=10.42.0.30:58308 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.192:443 remote=10.42.0.30:46330 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.229:443 remote=10.42.0.30:42820 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.226:443 remote=10.42.0.30:33138 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.225:443 remote=10.42.0.30:60336 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.194:443 remote=10.42.0.30:36662 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.230:443 remote=10.42.0.30:37892 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.231:443 remote=10.42.0.30:56552 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.193:443 remote=10.42.0.30:58324 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.192:443 remote=10.42.0.30:46346 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:41 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.229:443 remote=10.42.0.30:42836 FD 39 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:41 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=40.70.161.102:443 remote=10.42.0.30:52490 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: in.appcenter.ms:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.226:443 remote=10.42.0.30:33164 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.225:443 remote=10.42.0.30:60362 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.194:443 remote=10.42.0.30:36688 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.230:443 remote=10.42.0.30:37918 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.231:443 remote=10.42.0.30:56578 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.193:443 remote=10.42.0.30:58350 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.192:443 remote=10.42.0.30:46372 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:45 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.229:443 remote=10.42.0.30:42862 FD 31 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:45 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:54 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.226:443 remote=10.42.0.30:33202 FD 40 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:54 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:54 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.225:443 remote=10.42.0.30:60400 FD 40 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:54 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:54 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.194:443 remote=10.42.0.30:36726 FD 40 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:54 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:54 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.230:443 remote=10.42.0.30:37956 FD 40 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:54 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:54 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.231:443 remote=10.42.0.30:56616 FD 40 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:54 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:54 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.193:443 remote=10.42.0.30:58388 FD 40 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:54 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:54 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.192:443 remote=10.42.0.30:46410 FD 40 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:54 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:22:54 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.229:443 remote=10.42.0.30:42900 FD 40 flags=33 (local IP does not match any domain IP)
2021/02/05 07:22:54 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:01 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.66:443 remote=10.42.0.30:44268 FD 27 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:01 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:01 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.66:443 remote=10.42.0.30:44270 FD 27 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:01 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:01 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.2:443 remote=10.42.0.30:48460 FD 27 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:01 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:01 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.2:443 remote=10.42.0.30:48462 FD 27 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:01 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:01 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.130:443 remote=10.42.0.30:45606 FD 27 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:01 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:01 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.130:443 remote=10.42.0.30:45608 FD 27 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:01 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:10 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.226:443 remote=10.42.0.30:33240 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:10 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:10 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.225:443 remote=10.42.0.30:60438 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:10 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:10 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.194:443 remote=10.42.0.30:36764 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:10 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:10 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.230:443 remote=10.42.0.30:37994 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:10 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:10 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.231:443 remote=10.42.0.30:56654 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:10 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:10 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.193:443 remote=10.42.0.30:58426 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:10 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:10 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.192:443 remote=10.42.0.30:46448 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:10 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:10 kid1| SECURITY ALERT: Host header forgery detected on local=20.190.141.229:443 remote=10.42.0.30:42938 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:10 kid1| SECURITY ALERT: on URL: login.live.com:443
2021/02/05 07:23:11 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.159.34:443 remote=10.42.0.30:49670 FD 52 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:11 kid1| SECURITY ALERT: on URL: mobile.pipe.aria.microsoft.com:443
2021/02/05 07:23:14 kid1| SECURITY ALERT: Host header forgery detected on local=52.114.159.34:443 remote=10.42.0.30:49672 FD 51 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:14 kid1| SECURITY ALERT: on URL: mobile.pipe.aria.microsoft.com:443
2021/02/05 07:23:32 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.66:443 remote=10.42.0.30:44316 FD 15 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:32 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:32 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.66:443 remote=10.42.0.30:44318 FD 15 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:32 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:32 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.2:443 remote=10.42.0.30:48508 FD 15 flags=33 (local IP does not match any domain IP)
2021/02/05 07:23:32 kid1| SECURITY ALERT: on URL: api.twitter.com:443
2021/02/05 07:23:32 kid1| SECURITY ALERT: Host header forgery detected on local=104.244.42.2:443 remote=10.42.0.30:48510 FD 15 flags=33 (local IP does not match any domain IP)
